member_casual,day_of_week,mean_ride_length
member,Sunday,14.3647843960517
member,Wednesday,12.5327019110597
member,Thursday,12.3126798787612
member,Tuesday,12.3516892060085
member,Monday,12.2838125886005
casual,Monday,24.1686329946789
casual,Sunday,29.5331492061895
casual,Friday,24.4816776490931
casual,Thursday,21.9069194341364
member,Saturday,14.1528509283405
member,Friday,12.4475080908217
casual,Saturday,28.0934373706921
casual,Tuesday,21.793440237789
casual,Wednesday,22.509560118915
