member_casual,time_of_day,mean_ride_length
member,10,12.9835858081081
member,17,13.6413211321313
member,07,11.9171307595645
member,19,12.9477577400575
member,18,13.2108301221783
casual,18,24.2792411541675
member,08,11.8521598884433
member,15,13.3125124274687
member,11,13.0569248472648
member,16,13.3637388031675
casual,14,27.7804165960118
casual,03,30.9628277750341
casual,13,28.3158952141737
casual,16,24.6022502485314
member,09,11.9754746736338
member,06,10.9883763452764
casual,15,26.3977630593282
casual,17,23.4297589764902
member,12,12.7997687826878
member,22,12.8627610049858
member,13,12.7821755809437
casual,12,28.3849255639597
member,20,12.7594451901284
member,14,13.1290178777175
member,23,12.6175475673632
casual,19,24.4814855845561
casual,10,29.3394397679974
member,01,13.2339934188406
member,21,12.6099839652413
casual,08,18.4223370582137
casual,02,29.0256373250541
member,00,12.5549176329272
casual,21,21.785273912428
casual,11,29.162089607827
casual,23,25.0910768689207
casual,09,25.2499187446229
casual,07,17.5922758288846
casual,20,23.646273443295
casual,06,17.0913837421346
member,02,13.2798836174996
casual,22,22.3076267809978
casual,00,25.7143616935541
member,03,13.3205840975348
casual,05,16.0142197783155
member,05,11.3767336679329
casual,01,26.7503785877895
member,04,12.8599477761284
casual,04,28.1625493788678
