member_casual,month,mean_ride_length
member,October,12.1536066420889
casual,October,22.8782611233832
member,November,11.5758527683727
casual,November,19.9064231255573
member,December,11.4490678208668
casual,December,19.9401245918986
member,January,13.8017364746945
casual,January,21.3171432272491
member,February,12.9154239994545
casual,February,25.1930795003923
member,March,11.9723051443682
casual,March,24.9700993939393
member,April,12.3681167253049
casual,April,26.0193025668274
casual,May,28.049667867072
member,May,13.5181439666822
casual,June,27.7055782972299
member,June,13.8871531835181
casual,July,27.9475785106327
member,July,13.7214883844167
member,August,13.3963925098565
casual,August,25.7986991256201
member,September,12.1941707677092
casual,September,21.3504614465991
